titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno,titolo_pm,primamappa
Studio Demografico e Socio-Economico del Centro Storico di Palermo,Un'innovativa piattaforma di analisi geospaziale che trasforma i dati catastali e demografici in insights strategici per la comprensione del tessuto urbano palermitano.,https://palermohub.opendatasicilia.it/legend/thumbs_index/prg_part_catastali.jpg,"Catasto,MapLibre GL JS,Economia,Territorio,Popolazione",Strumenti Urbanistici,Palermo,https://palermohub.github.io/cspa/,https://zornade.com/,,@gbvitrano,05-08-2025,2025-August,2025,,
DEMO 3 - Variante Generale e Particelle catastali e stampa pdf,"DEMO 3 - Variante Generale e Particelle catastali, mappa realizzata con QGIS, pmtiles e  librerie Maplibre e un pizzico di AI",https://palermohub.opendatasicilia.it/legend/thumbs_index/socio_econ.jpg,"Catasto,MapLibre GL JS,Leafmap,Variante Generale,PRG,Palermo",Strumenti Urbanistici,Palermo,https://palermohub.opendatasicilia.it/prg_part_catastali.html,"Comune di Palermo, Regione Sicilia",,@gbvitrano,05-01-2025,2025-January,2025,,
DEMO - Variante Generale e Particelle catastali,"DEMO - Variante Generale e Particelle catastali, mappa realizzata con QGIS, pmtiles e  librerie Maplibre",https://palermohub.opendatasicilia.it/legend/thumbs_index/prg_catasto.jpg,"Catasto,MapLibre GL JS,Leafmap,Variante Generale,PRG,Palermo",Strumenti Urbanistici,Palermo,https://palermohub.opendatasicilia.it/prg_catasto.html,"Comune di Palermo, Regione Sicilia",,@gbvitrano,02-01-2025,2025-January,2025,,
Palermo - Strumenti Urbanistici - Modello 3D - MapLibre,Modello 3D - MapLibre,https://palermohub.opendatasicilia.it/legend/thumbs_index/pmtiles_pa.jpg,"Overture Maps Foundation,MapLibre GL JS,Leafmap",Strumenti Urbanistici,Palermo,https://palermohub.opendatasicilia.it/palermo_amap.html,"Overture Maps Foundation, Comune di Palermo",,@gbvitrano,30-12-2024,2024-December,2024,,
"Amap, Palermo - Mappa Distretti razionamento idrico dal 7 Ottobre 2024",Amap adotterà a partire dal prossimo 7 ottobre un piano sperimentale di razionamento della risorsa idrica che riguarderà diversi distretti della città di Palermo.,https://palermohub.opendatasicilia.it/legend/thumbs_index/palermo_amap.jpg,"Dighe,Fiumi,Laghi,Lago,Fiume,Diga,Siccità,Riduzione idrica,Turnazione,Interruzione di servizio",Emergenze,Palermo,https://palermohub.opendatasicilia.it/pmtiles_pa.html,AMAP S.p.A,,"@aborruso,@gbvitrano",27-07-2024,2024-July,2024,"Palermo, dal giorno 7 ottobre scatta il piano di razionamento idrico: ecco la mappa dei distretti interessati",https://www.arcgis.com/apps/instant/sidebar/index.html?appid=dc7a2076b9134892b79aa6b2709c8dc2
Palermo Catasto indendi 2023,Aggiornamento del catasto dei soprassuoli percorsi dal fuoco. Incendi Anno 2023,https://palermohub.opendatasicilia.it/legend/thumbs_index/incendi_palermo_2023.jpg,"Catasto incendi,Palermo,Incendi,Sicilia,2023",Ambiente,Palermo,http://u.osmfr.org/m/1103005/,"Comune di Palermo, SIF",,@gbvitrano,12-08-2024,2024-August,2024,Palermo | Catasto dei soprassuoli percorsi dal fuoco 2023,http://u.osmfr.org/m/1103005/
"Palermo, mappa dei distretti gestiti dall'AMAP S.p.A. soggetti a riduzione della pressione idrica",Amap SpA ha risposto a una nostra richiesta e ha messo a disposizione di OpenDataScilia e pubblicamente le informazioni disponibili sulla localizzazione dei distretti della rete idrica di Palermo,https://palermohub.opendatasicilia.it/legend/thumbs_index/distretti_amap_pa.jpg,"Dighe,Fiumi,Laghi,Lago,Fiume,Diga,Siccità,Riduzione idrica,Distretto, Pressione idrica",Emergenze,Palermo,https://palermohub.opendatasicilia.it/distretti_amap_pa.html,AMAP S.p.A,,"@aborruso,@gbvitrano",24-04-2024,2024-April,2024,"Palermo, mappa dei distretti gestiti dall'AMAP S.p.A. soggetti a riduzione della pressione idrica",http://u.osmfr.org/m/1059819/
"Mappa con le principali risorse idriche dell'isola, dighe,laghi e fiumi",Sicilia principali risorse idriche,https://palermohub.opendatasicilia.it/legend/thumbs_index/risorse_idriche.jpg,"Dighe,Fiumi,Laghi,Lago,Fiume,Diga,Siccità,Riduzione idrica",Emergenze,Sicilia,https://palermohub.opendatasicilia.it/risorse_idriche.html,Regione Sicilia,,@gbvitrano,06-04-2024,2024-April,2024,Sicilia | Principali risorse idriche,http://u.osmfr.org/m/1051183/
Italia | Punti di ricarica per i veicoli elettrici,Piattaforma Unica Nazionale dei punti di ricarica per i veicoli elettrici.,https://palermohub.opendatasicilia.it/legend/thumbs_index/punti_ricarica.jpg,"Italia,Punti di ricarica, auto elettriche,colonnine,connettori,potenza",Mobilità,Italia,https://palermohub.opendatasicilia.it/punti_ricarica.html,"MASE,onData",,@gbvitrano,30-03-2024,2024-March,2024,Italia | Punti di ricarica per i veicoli elettrici,http://u.osmfr.org/m/1046714/
Deposito Nazionale dei rifiuti radioattivi | 51 AREE IDONEE,Deposito Nazionale dei rifiuti radioattivi | 51 AREE IDONEE,https://palermohub.opendatasicilia.it/legend/thumbs_index/depositi_nucleari.jpg,"Italia,Centali Nucleari,Scorie radiottive,deposaito scorie",Ambiente,Italia,https://palermohub.opendatasicilia.it/depositi_nucleari.html,"MASE,Sogin",,@gbvitrano,17-12-2023,2023-December,2023,Deposito Nazionale dei rifiuti radioattivi | 51 AREE IDONEE,http://u.osmfr.org/m/1000296/
