titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno
23 Borghi più belli della Sicilia | 2023,"Autonomie locali, premiati i ventitrè Borghi più belli della Sicilia. La Regione attribuisce per il 2023 un bonus economico pari a 750 mila euro ai Comuni della Sicilia che hanno ricevuto il riconoscimento di ""Borgo più bello d’Italia"" o di ""Borgo dei Borghi"".",legend/thumbs_index/borghi_2023.jpg,"Palermo,Sicilia,Turismo,Borgo,Borghi,Borgo più bello",Cultura,Sicilia,borghi_2023.html,Regione Sicilia,,@gbvitrano,18-06-2023,2023-June,2023
Palermo 2023 | Geolocalizzazione degli Immobili da Alienare e da Valorizzare.,"Piano delle alienazioni e valorizzazione ex art. 58 d. l. n. 112/2008 convertito con modificazioni in l. 133/2008 successivamente integrato dall’art. 33 comma 6 del d. l. 98/2011 nella l. 111/2011 a sua volta modificato dall’art. 27 della l. 214/2011 - da allegare al bilancio di previsione 2023 - 2025 – delibera di giunta comunale n. 100 del 6/4/2023 - presa d’atto. 
(Rialaborazione @opendatasicilia)",legend/thumbs_index/beni_alienati_pa_2023.jpg,"Palemo,Immobili,Alienazione,Valorizzazione,Delibara",Strumenti Urbanistici,Palermo,beni_alienati_pa_2023.html,Comune di Palermo,,@gbvitrano,03-06-2023,2023-June,2023
Palermo Catasto indendi 2022,Aggiornamento del catasto dei soprassuoli percorsi dal fuoco. Incendi Anno 2022,legend/thumbs_index/catasto_incendi_pa_2022.jpg,"Catasto incendi,Palermo,Incendi,Sicilia,2022",Ambiente,Palermo,catasto_incendi_pa_2022.html,"Comune di Palermo,Regione Sicilia",,@gbvitrano,31-05-2023,2023-May,2023
Italia- Approdi e Spiagge Blu 2023,"La Bandiera Blu è un riconoscimento internazionale, istituito nel 1987 Anno europeo dell’Ambiente, che viene assegnato ogni anno in 49 paesi, inizialmente solo europei, più recentemente anche extra-europei.
Bandiera Blu è un eco-label volontario assegnato alle località turistiche balneari che rispettano criteri relativi alla gestione sostenibile del territorio.",legend/thumbs_index/divieti_balneazione_palermo.jpg,"Sicilia, Palermo, Divieti di balnezione, Zone di balneazione, mare, estate 2022",Ambiente,Italia,divieti_balneazione_palermo.html,FEE Italia,,@gbvitrano,13-05-2023,2023-May,2023
Acque di Balneazione e Divieti | Palermo stagione balneare 2023,Localizzazione delle aree di balneazione e divieti a Palermo per la stagione 2023 dal 01/05/2023 al 31/10/2023,legend/thumbs_index/bandiere_blu_2023.jpg,"Sicilia, Palermo, Divieti di balnezione, Zone di balneazione, mare, estate  2022",Ambiente,Palermo,bandiere_blu_2023.html,"Regione Sicilia,Ministero della Salute ",,@gbvitrano,02-05-2023,2023-May,2023
Acque di Balneazione | Sicilia stagione balneare 2023,Localizzazione delle aree di balneazione in Sicilia per la stagione 2023 dal 01/05/2023 al 31/10/2023,legend/thumbs_index/acque_di_balneazione_2023_1.jpg,"Sicilia,Palermo,Divieti di balnezione,Zone di balneazione, mare, estate  2023",Ambiente,Sicilia,acque_balneazione_2023.html,"Regione Sicilia,Ministero della Salute ",,"@gbvitrano,@totofiandaca",30-04-2023,2023-April,2023
Palermo - Nuove zone blu,Palermo - Nuove zone di tariffazione della sosta a pagamento dal 01 Feb 2023,legend/thumbs_index/zone_blu.jpg,"Palermo,Parcheggi,Zone blu,ZTL,Varchi controllat,Parcheggi a raso",Mobilità,Palermo,nuove_zone_blu.html,Comune di Palermo,,"@gbvitrano,Emilio Di Gristina",02-02-2023,2023-February,2023
Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco 2021,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco - Incendi anno 2021,legend/thumbs_index/pa_catasto_fuoco_21.jpg,"Catasto incendi,Palermo,Incendi,Sicilia,2021","Emergenze,Ambiente,Incendi",Palermo,pa_terre_bruciate_21.html,Comune di Palermo,,@gbvitrano,19-09-2022,2022-September,2022
Italia | Alberi Monumentali 2022,"La scoperta di un dataset interessante, indispensabile per fare conoscere un patrimonio di grande valore, probabilmente poco noto.",legend/thumbs_index/alberi_monumentali_2022.jpg,"Alberi,Monumenti,Politiche agrigole,Ministero,Natura,Ecologia,",Ambiente,Italia,alberi_monumentali_2022.html,MASAF,,@gbvitrano,29-07-2022,2022-July,2022
"Sicilia, spiagge accessibili 2022","Strutture balneari che tra percorsi dedicati e servizi necessari per le persone con disabilità motoria (anche temporanea) costituiscono in Sicilia una costellazione di spiagge accessibili in cui il mare è accessibile: da Palermo ad Agrigento, da Trapani a Catania, Siracusa e Pantelleria, il mare di Sicilia è un'esperienza godibile da tutti. (cit)",legend/thumbs_index/Spiagge-per-tutti-accessibili-2022.jpg,"Sicily accessible beaches,Sicilia spiagge accessibili,Sedia Job,Disabili,Vacanze,Mare,Spiagge,Dog club,Dog beach,Spiaggia di Pluto, Sicilia spiagge per disabili",Cultura,Sicilia,sicilia_spiagge_accessibili_2022.html,Sicilia Turismo per Tutti,,@gbvitrano,07-07-2022,2022-July,2022
