titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno
#FACCIAMOUNPATTO,"Palermo - Piano di pulizia straordinaria - 2019, dal 06 Maggio al 17 Luglio 2019 Piano di pulizia straordinario, 62 giorni lavorativi per la pulizia straordinaria di tutti i quartieri.",legend/thumbs_index/FACCIAMOUNPATTO.jpg,"FACCIAMOUNPATTO,TENIAMOPULITO,Pulizia straordinria,Piano,Decoro Urbano,Ambiente,",Ambiente,Palermo,FACCIAMOUNPATTO.html,Comune di Palermo,,@gbvitrano,04-05-2019,2019-May,2019
Siclia - Parafarmacie 2019,Mappa puntuale delle parafarmacie su tutto il territorio regionale,legend/thumbs_index/sicilia_parafarmacie.jpg,"Parafarmacie,Framaci da banco,farmaci vendibili senza ricetta",Cultura,Sicilia,sicilia_parafarmacie.html,Regione Sicilia,,@gbvitrano,26-04-2019,2019-April,2019
Palermo - Stagione balneare 2019 - Divieti di balneazione,"Divieto di balneazione, dal 1° maggio al 31 ottobre 2019, nei tratti di mare antistanti la costa del territorio di Palermo. L’Ordinanza fa riferimento alle disposizioni contenute nel Decreto n. 421 del 19 marzo scorso dell’Assessorato Regionale della Salute - Dipartimento Attività Sanitarie ed Osservatorio Epidemiologico di valutazione delle acque di mare destinate alla balneazione.",legend/thumbs_index/pa_divieti_balneazione_2019.jpg,"Mare,Spiaggia,Divieti,Balneazione,Estate,",Ambiente,Palermo,pa_divieti_balneazione_2019.html,Comune di Palermo,,@gbvitrano,19-04-2019,2019-April,2019
Responsabile della transizione al digitale (RTD) - Sicilia,Il Responsabile Transizione Digitale è una figura professionale prevista dall'art. 17 del Codice dell'Amministrazione Digitale,legend/thumbs_index/RTD.jpg,"RTD,Responsabile transizione digitale,Enti,",Cultura,Sicilia,RTD.html,IPA,,"@aborruso,@totofiandaca,@cirospat,@gbvitrano",03-04-2019,2019-April,2019
A.M.T. Catania - Marzo 2019,Azienda Metropolitana Trasporti (A.M.T.) Catania - Marzo 2019 - NO GTFS,legend/thumbs_index/amt_catania.jpg,"Bus,Fermate,Catania,Mobilità,AMT",Mobilità,Catania,amt_catania.html,AMT - Catania,,"@aborruso,@totofiandaca,@gbvitrano",29-03-2019,2019-March,2019
CCR Centro Comunale di Raccolta - Isola ecologica,Cosa è il CCR Centro Comunale di Raccolta...? E’ un’area presidiata per la raccolta differenziata dei rifiuti urbani e assimilati,legend/thumbs_index/ccr_isole_ecologiche_02.jpg,"Riciclo,Indumenti,Abbandono,Isola ecologica,Raccolta differenziata,Rifiuti urbani,","Ambiente,Rifiuti,Riciclo",Palermo,ccr_isole_ecologiche.html,RAP,,"@aborruso,@totofiandaca,@cirospat,@gbvitrano",23-03-2019,2019-March,2019
INFC,Inventario Nazionale delle Foreste e dei Serbatoi Forestali di Carbonio (INFC) - Dati quantitativi su popolamento e necromassa,legend/thumbs_index/concentrazione_alberi.jpg,"Alberi,Boschi,Castagneti,Pino,Sugherete,Igrofili,Abete rosso,Abete bianco,Rovere,Popolamento,Necromassa ",Ambiente,Italia,concentrazione_alberi.html,INFC,,@gbvitrano,16-03-2019,2019-March,2019
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Umap,Incidenti rilevati dalla Polizia Municipale di Palermo - Umap (tot. incidenti 3340),legend/thumbs_index/sinistri_2018.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri,",Mobilità,Palermo,sinistri_2018.html,Comune di Palermo,,@gbvitrano,15-03-2019,2019-March,2019
Teca Digitale e Bene Comune,"Mappa dei progetti Teca digitale, immagini storiche che il Sistema Bibliotecario Cittadino di Palermo ha reso disponibile online sul social network flickr, tutte pubblicate con una licenza aperta CC BY-SA 4.0 che ne consente il riuso - Rielaborazione dati OpenDataSicilia",legend/thumbs_index/library_02.jpg,"Foto storiche,Cartoline,Postcard,Palermo,Persone,Hotel,Ristoranti,Caffè,Parco,Piazza,Via,Collezione,Cartografie Storiche,
",Cultura,"Palermo
",teca_digitale.html,Comune di Palermo,,"@aborruso,@totofiandaca,@cirospat,@gbvitrano",12-03-2019,2019-March,2019
Biblioteche e bene comune digitale,"Mappa dei progetti Teca digitale, immagini storiche che il Sistema Bibliotecario Cittadino di Palermo ha reso disponibile online sul social network flickr, tutte pubblicate con una licenza aperta CC BY-SA 4.0 che ne consente il riuso - Rielaborazione dati OpenDataSicilia",legend/thumbs_index/teca_digitale.jpg,"Foto storiche,Cartoline,Postcard,Palermo,Persone,Hotel,Ristoranti,Caffè,Parco,Piazza,Via,Collezione,Cartografie Storiche 
",Cultura,"Palermo
",library.html,Comune di Palermo,,"@aborruso,@gbvitrano",12-03-2019,2019-March,2019
Mappa del pendolarismo da e per Palermo 2011 | flowmap.blue,Mappa dinamica del pendolarismo da e per Palermo – Istat 2011,legend/thumbs_index/Pendolarismo_flowmap_blue.jpg,"Mobilità,Pendolarismo,Bus,Mezzo proprio,Lavoro, Studio,ISTAT",Mobilità,Sicilia,https://flowmap.blue/1gDrYiVk4jNhmqkBhFwKOYhBTHfOU_GNsjDUHV5vpuVE,ISTAT,,@gbvitrano,25-01-2019,2019-January,2019
Italia - Mappa news Incendi registrati nel 2019,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2019. ,legend/thumbs_index/news_incendi_2019.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2019.html,EFFIS,,@gbvitrano,13-01-2019,2019-January,2019
Mappa terremoti in Italia nel 2019 (earthquakes today),Mappa terremoti in Italia nel 2019 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,legend/thumbs_index/terremoti_2019.jpg,"Terremoti,Terremoto,IGNV,Lista terremto,",Emergenze,Italia,terremoti_2019.html,INGV,,"@aborruso,@gbvitrano",01-01-2019,2019-January,2019
Mappa terremoti in Italia nel 2018,Mappa terremoti in Italia nel 2018 - Archivo eventi sismici registarti nel 2018 suddivisi per mese,legend/thumbs_index/terremoti_2018.jpg,"Terremoti,Terremoto,IGNV,Lista terremto,",Emergenze,Italia,terremoti_2018.html,INGV,,"@aborruso,@gbvitrano",30-12-2018,2018-December,2018
Stalli riservati all'Ape Calessino,47 stalli riservati all'Ape Calessino per servizio pubblico,legend/thumbs_index/motocarrozzette.jpg,"Taxi,Ape Calessino,Cultura,Turismo,Mobilità,Motocarrozzette",Mobilità,Palermo,motocarrozzette.html,Comune di Palermo,,@cirospat,17-11-2018,2018-November,2018
ARS - Mappa Deputati della XVII Legislatura,Assemblea Regionale Siciliana - ARS - Mappa Deputati della XVII Legislatura distribuiti per collegio di elezione ,legend/thumbs_index/deputati_ars.jpg,"ARS,Deputati della XVII Legislatura,Sicilia,Colleggio elettorale,","Cultura,ARS",Sicilia,deputati_ars.html,Regione Sicilia,,"@gpirrotta,@gbvitrano",11-11-2018,2018-November,2018
Mappa interattiva segnalazioni RAP ,Mappa interattiva delle segnalazioni alla RAP (Risorse Ambiente Palermo) by OpenDataSicilia - Settembre 2018,legend/thumbs_index/app_rap.jpg,"Rifiuti,Segnalazioni,RAP,Palermo,Discariche abusive,Tableau,","Ambiente,Rifiuti,Riciclo",Palermo,app_rap.html,RAP,,"@aborruso,@totofiandaca,@gbvitrano",14-10-2018,2018-October,2018
"Targa Florio Classica - Ferrari Tribute, limitazioni alla circolazione veicolare - Palermo","Manifestazione automobilistica ""Targa Florio Classica - Ferrari Tribute ""riservata a vetture storiche valida per il Campionato Italiano grandi Eventi e Ferrari Tribute to Targa Florio riservata ai possessori di vetture Ferrari.",legend/thumbs_index/targa_florio.jpg,"Palermo,Targa Florio,Viabilità,Divieto di circolazione,Divieto di sosta,Limitazioni alla circolazione,",Mobilità,Palermo,targa_florio.html,Comune di Palermo,,@gbvitrano,05-10-2018,2018-October,2018
Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco - Incendi anno 2017,legend/thumbs_index/pa_catasto_fuoco.jpg,"Catasto incendi,Palermo,Incendi,Sicilia,","Emergenze,Ambiente,Incendi",Palermo,catasto_terre_bruciate_palermo.html,"Comune di Palermo,Copernicus",,@gbvitrano,01-10-2018,2018-October,2018
Localizzazione degli edifici scolastici attivi - Anno Scolastico 2017/18 - Provincia Palermo,"Al via l’operazione trasparenza sui dati dell’Anagrafe dell’edilizia scolastica, da oggi disponibili in chiaro, per singolo istituto scolastico, attraverso il portale del Ministero dell’Istruzione, dell’Università e della Ricerca nella sezione dedicata ai dati e open data.",legend/thumbs_index/anagrafe_scuola.jpg,"Ediliazia Scolastica,MIUR,Scuola,Anagrafe dell’edilizia,",Strumenti Urbanistici,Palermo,anagrafe_scuola.html,MIUR,,@gbvitrano,29-09-2018,2018-September,2018
Papa Francesco a Palermo,Viabilità provvisoria in occasione della visita di Papa Francesco a Palermo - Settembre 2018,legend/thumbs_index/papafrancescopalermo.jpg,"Papa Francesco,Strade chiuse,Diviti di sosta, Diviti di transito,Metropolitana,Tram,Viabilità provvisoria,",Mobilità,Palermo,papafrancescopalermo.html,Comune di Palermo,,"@totofiandaca,@gbvitrano",09-09-2018,2018-September,2018
"Sicilia - Ponti e viadotti Agosto 2018 - Tableau public
","Mappa intereattiva dei ponti e viadotti siciliani, utilizzando Tableau Public usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu)",legend/thumbs_index/ponti_tableau.jpg,"Infrastrutture,Ponti,Viadotti,Crolli,Monitoraggio Civico,Tableau,",Mobilità,Sicilia,ponti_sicilia_centroidi.html,OpenStreetMap,,"@gbvitrano,@totofiandaca",27-08-2018,2018-August,2018
"Sicilia - Ponti e viadotti Agosto 2018 
",Localizzati 8.703 tratte stradali su ponte o viadotti della Sicilia usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu),legend/thumbs_index/ponti_viadotti_sicilia_01.jpg,"Infrastrutture,Ponti,Viadotti,Crolli,Monitoraggio Civico,Tableau,",Mobilità,Sicilia,ponti_viadotti_sicilia.html,OpenStreetMap,,@gbvitrano,24-08-2018,2018-August,2018
Sicurezza ponti e cavalcavia - Palermo - Agosto 2018,"Localizzazione dei ponti di Palermo usando i dati di OpenStreetMap (utilizzando overpass-turbo.eu) e mettendoli ove possibile in relazione con i dati della suddetta relazione del comunicato stampa del Comune di Palermo. Purtroppo al momento, in attesa dei dati del catasto ufficiale, è poco più di un elenco.",legend/thumbs_index/sicurezzapontipalermo.jpg,"Infrastrutture,Ponti,Viadotti,Crolli,Monitoraggio,Tableau,",Mobilità,Palermo,sicurezzapontipalermo.html,"Comune di Palermo,OpenStreetMap",,@gbvitrano,24-08-2018,2018-August,2018
Italia – Ponti e viadotti - Agosto 2018,"La mappa è stata realizzata dopo l’ennesimo crollo di un ponte, (Genova, crolla il Ponte Morandi) con i dati estratti da OSM utilizzando overpass-turbo.eu, strumento utilissimo sia per semplicità d’utilizzo che per la possibilità di effettuare estrazioni mirate, ovvero ci permette di filtrare il tipo di dati che ci servono in una determinata area geografica. Si potrebbe utilizzare la mappa come base cartografica per un censimento Nazionale di ponti e viadotti, segnalando con foto o video lo stato di fatto o apparente di ponti e viadotti di strade locali e nazionali del nostro Paese.",legend/thumbs_index/italia_ponti_viadotti.jpg,"Infrastrutture,Ponti,Viadotti,Crolli,Monitoraggio Civico,Tableau,",Mobilità,Italia,sicilia_ponti_viadotti.html,OpenStreetMap,,@gbvitrano,15-08-2018,2018-August,2018
Dove sono gli alberi monumentali d'Italia?,"La scoperta di un dataset interessante, indispensabile per fare conoscere un patrimonio di grande valore, probabilmente poco noto.",legend/thumbs_index/alberi_monumentali.jpg,"Alberi,Monumenti,Politiche agrigole,Ministero,Natura,Ecologia,",Ambiente,Italia,alberi_monumentali.html,MASAF,,@aborruso,28-05-2018,2018-May,2018
Mappa Concessioni Demaniali Marittime,Il dataset continene i dati delle concessioni marittime gestiti dal SID il portale del mare -portale integrato per la pianificazione del demanio e dello spazio marittimo. Le informazioni contengono anche la geolocalizzazione. I dati si riferiscono ad Aprile 2018.,legend/thumbs_index/Concessioni_Demaniali_Marittime.jpg,Concessioni Demaniali Marittime,Ambiente,Italia,concessioni_demaniali_marittime.html,MIT,,@gbvitrano,29-04-2018,2018-April,2018
Mappa dei rischi dei comuni Italiani,Esplora gli indicatori della Mappa dei rischi dei comuni Italiani - Dataset rilsciato dall'ISTAT in 2017,legend/thumbs_index/Guenter_ixmaps_istat.jpg,Rischi dei comuni Italiani,Ambiente,Italia,https://exp.ixmaps.com.s3-website-eu-west-1.amazonaws.com/ixmaps/app/ISTAT/index_rischi_explorer_cratere.html,ISTAT,,@grichter,19-04-2018,2018-April,2018
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2017 - Umap,Incidenti rilevati dalla Polizia Municipale di Palermo - Umap (tot. incidenti 3468),legend/thumbs_index/sinistri_2017.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri,",Mobilità,Palermo,sinistri_2017.html,Comune di Palermo,,@gbvitrano,20-03-2018,2018-March,2018
Elezioni Politiche 2018,Il voto elettorale come non l'avete mai visto,legend/thumbs_index/elezioni_2018.jpg,Elezioni Politiche,Politica,Italia,https://exp.ixmaps.com.s3-website-eu-west-1.amazonaws.com/ixmaps/app/Elezioni%202018/index_2018_maps.html,onData,,"@grichter,@aborruso",15-03-2018,2018-March,2018
"Palermo AirBnB - Opendata Gennaio 2018
","Palermo AirBnB - Opendata Gennaio 2018 - Nella mappa sono riportati gli alloggi turistici di Palermo (4.319) affiliati della piattaforma home sharing Inside Airbnb
",legend/thumbs_index/palermo_airbnb.jpg,"Palermo,Turismo,AirBnB,Alloggi,Camere,Camere in affitto,Vacanze, Bed & Breakfasts,Ville,Appartamenti,Resort,Ostelli,Hotel,B&B:Prezzi,","Cultura,Turismo",Palermo,palermo_airbnb.html,Scraping di Murray Cox - @murraycoxphoto,,@gbvitrano,25-01-2018,2018-January,2018
"Geocodifica il tuo indirizzo
","Usa questa utility  per trovare le coordinate geografiche di un punto  di una  via, una località, un comune o una regione.
Per otterere le coordinate latitudine e longitudine puoi:
Scrivere per esteso il nome della via o della 
località (semplificato dal completamento automatico di Google per le 
località Italiane) che ti interessa e cliccare su invio.Trascinare il markernella mappa per ottenere le coordinate e l'indirizzo.",legend/thumbs_index/geolocalizza.jpg,"Geolocalizzati,Indirizzo,Coordinate,Latitudine,Longitudine,",Cultura,Italia,geolocalizza.html,Google Maps,,@gbvitrano,12-01-2018,2018-January,2018
Italia - Mappa news Incendi registrati nel 2018,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2018. ,legend/thumbs_index/news_incendi_2018.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2018.html,EFFIS,,@gbvitrano,01-01-2018,2018-January,2018
ATM Messina - GTFS,Mappa Trasporti pubblici ATM Messina - GTFS - Dicembre 2017,legend/thumbs_index/atm_me.jpg,"Messina,ATM,GTFS,Bus,Tram,Fermate",Mobilità,Messina,atm_me.html,"Comune di Messina,UNIME",,"@aborruso,@piersoft,@gbvitrano",24-12-2017,2017-December,2017
P.A.I. Geomorfologia e Idraulica di Palermo – Qgis Cloud,P.A.I. Geomorfologia e Idraulica di Palermo – Qgis Cloud,legend/thumbs_index/pai_qgis_cloud.jpg,"Ambiente,Pericolosità Geomofologicia,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,pai_qgis_cloud.html,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",22-12-2017,2017-December,2017
Orto Botanico di Palermo,Aree interne all'Orto Botanico di Palermo,legend/thumbs_index/orto_botanico.jpg,"Orto Botanico,Giardini,Piante,Alberi,Fiori","Natura,Ambiente,Cartografia",Palermo,orto_botanico.html,UNIPA,,"@cirospat,Enrico Russo",13-12-2017,2017-December,2017
Palermo 3D Maps WRLD,"WRLD è una piattaforma dinamica di mappatura 3D per edifici intelligenti, città, giochi, e esperienze virtuali. Fornisce un ambiente 3D completamente testurizzato che utilizza un sistema di coordinate globali in modo reale, quindi è pronto per essere utilizzato immediatamente.",legend/thumbs_index/3d_wrld.jpg,3D,"Modellazione 3D,Cartografia",Palermo,index_3d.html,Wrld3d,,@gbvitrano,08-12-2017,2017-December,2017
Mappa del Rischio idrogeologico,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.",legend/thumbs_index/pericolosita_idro_geo.jpg,"Ambiente,Pericolosità Geomofologicia,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,rischio_idrogeologico.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",05-12-2017,2017-December,2017
Mappa della Pericolosità idrogeologica,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.",legend/thumbs_index/rischio_idrogeo.jpg,"Ambiente,Pericolosità Geomofologicia,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,pericolosit%C3%A0_idrogeologica.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",04-12-2017,2017-December,2017
Mappa delle Pericolosità e Rischio Idraulico per fenomeni di esondazione,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.",legend/thumbs_index/pericolo_rischio_idra.jpg,"Ambiente,Pericolosità Geomofologicia,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,idraulica.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",03-12-2017,2017-December,2017
Mappa dei Dissesti,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.",legend/thumbs_index/dissesti.jpg,"Ambiente,Pericolosità Geomofologica,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,dissesti.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",02-12-2017,2017-December,2017
Mappa delle Pericolosità e del Rischio Geomorfologica,"Piano Stralcio di Bacino per l‘Assetto Idrogeologico (P.A.I.) Regione Sicilia - (Palermo), strumento fondamentale della politica di assetto territoriale delineata dalla legge 183/89, avviata in ogni regione la pianificazione di bacino, esso ne costituisce il primo stralcio tematico e funzionale.",legend/thumbs_index/index_pai.jpg,"Ambiente,Pericolosità Geomofologicia,Rischio Geomofologico,Dissesti,Rischio Idraulico,Pericolosità Idraulica,Palermo",Strumenti Urbanistici,Palermo,index_pai.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,Tonino Corso,@gbvitrano ",01-12-2017,2017-December,2017
Cartografia e Ortofoto di base,Carta Tecnica Regionale 10K (C.T.R.)  e Ortofoto ATA 2012 2013 Palermo 14 cm,legend/thumbs_index/cartografia.jpg,"CTR,Palermo,Ortofoto,Cartografia",Cartografia,Palermo,cartografia.html#14/38.1185/13.3595,Regione Sicilia,,"@aborruso,@totofiandaca,@gbvitrano",01-12-2017,2017-December,2017
Spazi Palermo capitale italiana Cultura 2018,Spazi Culturali comunali di Palermo per capitale italiana Cultura 2018,legend/thumbs_index/cultura_2018.jpg,Cultura,Cultura,Palermo,pa_capitale_cultura_2018.html,Comune di Palermo,,@cirospat,16-10-2017,2017-October,2017
Italia - Mappa Fire News 2012 - 2017 ,La mappa delle notizie relative agli Incendi avvenuti in Italia dal 2012 al 2017.,legend/thumbs_index/news_incendi_2012_17.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2012_17.html,EFFIS,,@gbvitrano,20-09-2017,2017-September,2017
#FoiaeFiamme - Richiesta di accesso civico -,"La mappa permette a chiunque di compilare, in modo semplice e immediato, una richiesta di accesso civico con la quale chiedere ad un Comune il catasto delle terre bruciate",legend/thumbs_index/comuniafuoco.jpg,"Incendi,News,EFFIS,Accesso Civico,#Foiaefiamme,Pericolo","Emergenze,Ambiente,Incendi",Italia,comuniafuoco.html,EFFIS,,"@aborruso,@cristigalas,@giuragu,@gbvitrano",10-09-2017,2017-September,2017
Italia incendi boschivi dal 2009 a maggio 2016,"Nel periodo 2009 - 2016 in Italia un ettaro di superficie su tre è andato in fumo in Sicilia, un ettaro su cinque in Sardegna. In totale due terzi degli incendi italiani ha interessato le isole maggiori e la Calabria. Sempre nelle isole maggiori gli incendi più devastanti....",legend/thumbs_index/numero_incendi_italia.jpg,"Incendi,Dati alle fiamme,Italia a Fuoco","Emergenze,Ambiente,Incendi",Italia,numero_incendi_italia.html,"SIF,Regione Sicilia",,"@aborruso,@giuragu,@gbvitrano",02-09-2017,2017-September,2017
Sicilia - censimento aree incendi dal 2010 a maggio 2016 - Dati parziali,Il caso Sicilia - Censimento aree incendi dal 2010 a maggio 2016 - Dati parziali,legend/thumbs_index/incendi_sicilia_aree.jpg,"Incendi,Sicilia,Censimento,Dati alle fiamme,Pericolo","Emergenze,Ambiente,Incendi",Sicilia,incendi_sicilia_aree.html,"SIF,Regione Sicilia",,"@aborruso,@giuragu,@gbvitrano",02-09-2017,2017-September,2017
Location di Film girati in Sicilia,"Location di Film girati in Sicilia, da un lavoro di VisitSicily.info, catalogo di Film in progress",legend/thumbs_index/location_film.jpg,Film,Cultura,Sicilia,location_film.html,Visit Sicily Regione Sicilia,,"@cirospat,Renato Alongi",24-08-2017,2017-August,2017
Aree di Emergenza - Protezione Civile - Regione Sicilia,"Censimento delle aree di emergenza ai fini della pianificazione di Protezione Civile (Aree di attesa della popolazione, Aree di accoglienza o di ricovero della popolazione e Aree di ammassamento soccorritori e Risorse) dei Comuni delle Provincia di Catania, Enna, Messina, Ragusa e del Comune di Palermo.",legend/thumbs_index/piano_pc.jpg,Protezione Civile,"Emergenze, Protezione Civile","Catania,Enna,Messina,Ragusa,Palermo",piano_prot_civ.html#12/38.1335/13.3193,"Regione Sicilia,Comune di Palermo",,@gbvitrano,01-08-2017,2017-August,2017
Sicila a fuoco - 2017 - EMSR213: Forest Fire in Southern Italy ,"Gli incendi in Sicilia, una situazione drammatica vista da COPERNICUS - Emergency Management Service - EMSR213: Forest Fire in Southern Italy 
",legend/thumbs_index/index_incendi_sicilia.jpg,"Incendi,Sicilia,Censimento,Dati alle fiamme,Modelli 3D,Modellazione 3D,Pericolo","Emergenze,Ambiente,Incendi",Sicilia,index_incendi_sicilia.html,EFFIS,,@gbvitrano,03-07-2017,2017-July,2017
Pericolosità sismica - Sicilia,Pericolosità sismica di riferimento per il Territorio nazionale ,legend/thumbs_index/peric_sismica.jpg,"Ambiente,Sisma,Prevenzione",Ambiente,Italia,peric_sismica.html#9/37.5313/14.0353,"ISTAT,INGV",,@gbvitrano,01-07-2017,2017-July,2017
Contenitori di oli esausti vegetali a Palermo,Dislocazione dei contenitori di oli esausti vegetali a Palermo,legend/thumbs_index/contenitori_olio.jpg,"Olii,Riciclo,Rifiuti","Ambiente,Rifiuti,Riciclo",Palermo,contenitori_olio.html,Comune di Palermo,,@cirospat,14-06-2017,2017-June,2017
Qgis Feature 2.5D Renderer Modello digitale del terreno di Palermo,Test Qgis Feature 2.5D Renderer Modello digitale sugli edifici del centro storico di Palermo,legend/thumbs_index/renderer_2_5D.jpg,"Palermo,Modella 3D, Modellazione 3D, Territorio,Curve di livello,DEM,Modello digitale del terreno,DTM,Qgis,Render2.5D",Modellazione 3D,Palermo,renderer_2_5D.html,"Comune di Palermo,Regione Sicilia",,@gbvitrano,22-05-2017,2017-May,2017
Modello digitale del terreno di Palermo,Modello digitale del terreno #DTM – del territorio di Palermo,legend/thumbs_index/dem_palermo.jpg,"Palermo,Modella 3D, Modellazione 3D, Territorio,Curve di livello,DEM,Modello digitale del terreno,DTM",Modellazione 3D,Palermo,dem_palermo.html,Regione Sicilia,,@gbvitrano,21-05-2017,2017-May,2017
Atlante delle Carte Tecniche storiche,"Osservare il cambiamento di una città grazie alla cartografia... Rispetto alla mappa pubblicata ad Aprile 2017, è stata aggiunta una nuova carta tecnica ed è stato migliorato il passaggio da una carta all'altra, mantenendo posizione e zoom",legend/thumbs_index/atlante.jpg,"Atlante,Cartografie Storiche,Palermo",Cartografia,Palermo,index_atlante.html,Comune di Palermo,PalermoHub,"@aborruso,@piersoft,@cirospat,@gbvitrano",17-05-2017,2017-May,2017
Protezione Civile - Campagna AntIncendio Boschivo 2017 ,"Nella mappa è riportata la localizzazione delle basi operative con Elicotteri e mezzi aerei disponibili per la Campagna AntIncendio Boschivo 2017 della Protezione Civile e le basi aeree messe a disposizione dalle Regioni.
I mezzi della flotta aerea dello Stato sono coordinati dal Coau - Centro Operativo Aereo Unificato del Dipartimento della Protezione Civile.",legend/thumbs_index/campagna_antinc.jpg,"Mezzi di soccorso,Incendi,Elicotteri,Vigili del Fuoco,Emergenze",Emergenze,Italia,campagna_antinc.html,Protezione Civile,,@gbvitrano,10-05-2017,2017-May,2017
Palermo – Elezioni Amministrative 2017 – Affluenza per seggio elettorale,"Nella mappa sono localizzati i seggi elettorali per le elezioni amministrative 2017, con l’indicazione del nome della scuola, l’indirizzo e la possibilità di accesso per i portatori di disabilità motorie. Inoltre sono riportati il numero degli elettori e l’affluenza nei vari seggi.",legend/thumbs_index/amministrative_2017_affluenza.jpg,"Elezioni Amministrative,Elezioni Politiche,Elezioni Regionli,Referendum",Elezioni Amministrative,Palermo,amministrative_2017_affluenza.html,Comune di Palermo,,"@aborruso,@cirospat,@gbvitrano",09-05-2017,2017-May,2017
Palermo – Elezioni Amministrative 2017 – Voti ai candidati sindaco aggregati per scuola,"Nella mappa sono localizzati i seggi elettorali per le elezioni amministrative 2017, con l’indicazione del nome della scuola, l’indirizzo e la possibilità di accesso per i portatori di disabilità motorie. Inoltre sono riportati i voti ai candidati sindaco per sezione.",legend/thumbs_index/amministrative_2017_voti_sindaco.jpg,"Elezioni Amministrative,Elezioni Politiche,Elezioni Regionli,Referendum",Elezioni Amministrative,Palermo,amministrative_2017_voti_sindaco.html,Comune di Palermo,,"@aborruso,@cirospat,@gbvitrano",08-05-2017,2017-May,2017
Palermo – Controlli amianto 2016-2017 – Polizia Municipale,"Nella mappa è riportato il dataset  degli interventi effettuati relativi alla presenza di amianto nel territorio comunale di Palermo, dalla Polizia Municipale nel 2016 e 2017",legend/thumbs_index/controlli_amianto_16_17.jpg,"Ambiente,Controlli,Aminato,Rifiuti,Controllo Territorio",Ambiente,Palermo,controlli_amianto_16_17.html,Comune di Palermo,,@gbvitrano,06-05-2017,2017-May,2017
Italia - Mappa news Incendi registrati nel 2017,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2017.,legend/thumbs_index/news_incendi_2017.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2017.html,EFFIS,,@gbvitrano,05-05-2017,2017-May,2017
