X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.406904,38.093495,1400,Corso,DEI MILLE,1294,,"Corso dei Mille, 1294, 90121 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.420877,38.088105,1403,Corso,DEI MILLE,1620,,"Corso dei Mille, 1620, 90121 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.415856,38.085383,1405,Cortile,DI FRESCO,1,,"Cortile di Fresco, 1, 90124 Regia Corte Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.369722,38.085065,1415,Cortile,COLNAGO,26,,"Cortile Colnago, 26, 90124 Palermo",Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III
13.361892,38.079702,1418,Largo,PARISI,18,,"Largo Parisi, 18, 90125 Palermo",Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III
13.368994,38.100122,1422,Via,GUADAGNA,50,,"Via Guadagna, 50, 90124 Palermo",Oreto Guadagna,Oreto - Stazione,III
13.374063,38.078993,1423,Via,BARRESI,7,,"Via Barresi, 7, 90124 Palermo",Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III
13.355134,38.076642,1424,Via,ALOI,123,,"Via Aloi, 123, 90125 Palermo",Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III
13.362961,38.074911,1425,Cortile,CASUZZE,10,,"Via Casuzze, 10, 90124 Palermo",Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III
13.381408,38.09905,1428,Via,BRANCACCIO,164,,"Via Brancaccio, 164, 90124 Palermo",Brancaccio Conte Federico,Brancaccio - Ciaculli,II
13.382719,38.096218,1429,Via,BRANCACCIO,228,,"Via Brancaccio, 228, 90124 Palermo",Brancaccio Conte Federico,Brancaccio - Ciaculli,II
13.381801,38.095678,1430,Cortile,LOMBINO,14,,"Cortile Lombino, 14, 90124 Palermo",Brancaccio Conte Federico,Brancaccio - Ciaculli,II
13.391058,38.097724,1431,Fondo,MORTILLARO EMILIO GIAFAR,6,,"Via Emiro Giafar, 6, 90124 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.385558,38.093786,1432,Via,CONTE FEDERICO,61,,"Via Conte Federico, 61, 90124 Palermo",Brancaccio Conte Federico,Brancaccio - Ciaculli,II
13.401635,38.099166,1436,Via,SPERONE,296,,"Via Sperone, 296, 90123 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.396045,38.099354,1437,Via,SPERONE,66,,"Via Sperone, 66, 90123 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.39941,38.099483,1438,Via,SPERONE,204,,"Via Sperone, 204, 90123 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.40843,38.098307,1439,Via,MESSINA MARINE,465,,"Via Messina Marine, 465, 90121 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.416166,38.09745,1441,Via,MESSINA MARINE,637,,"Via Messina Marine, 637, 90121 Palermo",Roccella Acqua dei Corsari,Settecannoli,II
13.398699,38.079262,1443,Via,TENAGLIA GIULIO,41,,"Via Giulio Tenaglia, 41, 90124 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.416483,38.067155,1444,Piazzetta,GIARDINA,3,,"Via Piazzetta Giardina, 3, 90124 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.415977,38.066107,1445,via,CINA',97,,"Piazzetta Cina, 97, 90121 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.404526,38.077042,1446,Via,CIACULLI,216,,"Via Ciaculli, 216, 90124 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.407216,38.075926,1447,Via,CIACULLI,240,,"Via Ciaculli, 240, 90124 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
