INDIRIZZO,NUMERO_CIVICO,CATEGORIA,TIPO,SUBTIPO,FOGLIO,PLLA,motivo
VIA S.ALESSANDRO,27,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,strada_non_in_anncsu
VIA S.ALESSANDRO,27,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,strada_non_in_anncsu
VIA S.CIRO,48,Edificio,IMPIANTO SPORTIVO,PALESTRA,,,strada_non_in_anncsu
VIA S.CIRO,48,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,,,strada_non_in_anncsu
VIA S.CIRO,48,Edificio,SCUOLA,ELEMENTARE,,,strada_non_in_anncsu
VIA S.FILIPPO,11,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,72,,strada_non_in_anncsu
VIA S.LORENZO,48/A,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA S.LORENZO,155,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA S.LORENZO,251,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA S.MARIA DI GESU',36,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,strada_non_in_anncsu
VIA S.MARIA DI GESU',258,Terreno,AREA,TERRENO,,,strada_non_in_anncsu
VIA S.MARIA DI GESU',258,Terreno,AREA,TERRENO,,,strada_non_in_anncsu
VIA S.MARIA DI GESU',9,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),,,strada_non_in_anncsu
VIA S.MARIA DI GESU',258,Unità non abitativa,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,,,strada_non_in_anncsu
VIA S.MARIA DI GESU',258,Unità non abitativa,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,,,strada_non_in_anncsu
VIA S.MARTINO,81,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA S.MARTINO,114,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA S.NICOLO' ALL'ALBERGHERIA,,Edificio,EDILIZIA RESIDENZIALE PUBBLICA,NON CLASSIFICATO,,,strada_non_in_anncsu
VIA SANTOSTEFANO FULCO,SNC,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA SANTOSTEFANO FULCO,14,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA SANTOSTEFANO FULCO,,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,strada_non_in_anncsu
VIA SERGIO PAPA I,21,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,strada_non_in_anncsu
VIA SERGIO PAPA I,94,Edificio,IMPIANTO TECNICO,CAPANNONE (IMPIANTO TECNICO),,,strada_non_in_anncsu
VIA SERGIO PAPA I,94,Edificio,IMPIANTO TECNICO,CAPANNONE (IMPIANTO TECNICO),,,strada_non_in_anncsu
VIA SERGIO PAPA I,94,Edificio,IMPIANTO TECNICO,CAPANNONE (IMPIANTO TECNICO),,,strada_non_in_anncsu
VIA SERGIO PAPA I,94,Edificio,IMPIANTO TECNICO,CAPANNONE (IMPIANTO TECNICO),,,strada_non_in_anncsu
VIA SS.SALVATORE,30,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIA V.53,15,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),,,strada_non_in_anncsu
VIA V.53,15,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),,,strada_non_in_anncsu
VIALE AMEDEO D'AOSTA,52,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,strada_non_in_anncsu
VIALE AMEDEO D'AOSTA,52,Edificio,SCUOLA,MEDIA,77,,strada_non_in_anncsu
VIALE ERCOLE,,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,4739/47470029,Unità non abitativa,LOCALE,MAGAZZINO,,1695,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,4739/47470029,Unità non abitativa,LOCALE,MAGAZZINO,,1695,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,4739/47470029,Unità non abitativa,LOCALE,MAGAZZINO,,1695,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,4739/47470029,Unità non abitativa,LOCALE,MAGAZZINO,,1695,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,4739/47470029,Unità non abitativa,LOCALE,MAGAZZINO,,1695,strada_non_in_anncsu
VIALE REGIONE SICILIANA N.O.,95,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,strada_non_in_anncsu
VICOLO BAGLICELLO (2),9,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO CHIARANDA,9,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO DEI CROCIFERI (2),11,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO DELLE VERGINI,12,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO FORNO A S.AGATUZZA,SNC,Unità non abitativa,COMMERCIALE,NEGOZI E BOTTEGHE,136,,strada_non_in_anncsu
VICOLO FORNO A S.AGATUZZA,SNC,Unità non abitativa,COMMERCIALE,NEGOZI E BOTTEGHE,136,,strada_non_in_anncsu
VICOLO FORNO A S.AGATUZZA,SNC,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),136,,strada_non_in_anncsu
VICOLO S.ALESSANDRO,47,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO S.GILIBERTO,11,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),137,,strada_non_in_anncsu
VICOLO S.MICHELE ARCANGELO,,Terreno,AREA,PARZIALMENTE EDIFICATA,,,strada_non_in_anncsu
VICOLO S.MICHELE ARCANGELO,,Edificio,EDILIZIA RESIDENZIALE PUBBLICA,NON CLASSIFICATO,,,strada_non_in_anncsu
VICOLO S.MICHELE ARCANGELO,11,Unità non abitativa,LOCALE,MAGAZZINO,137,,strada_non_in_anncsu
VICOLO S.ROSALIA,,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,strada_non_in_anncsu
VICOLO S.UFFIZIO,50,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VICOLO SPAGNA (2),SNC,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),136,,strada_non_in_anncsu
VLO GESU' E MARIA A PAL. REALE,17,Edificio,ARREDO URBANO,FONTANA,,,strada_non_in_anncsu
VLO RITIRO SUOR VINCENZA (1),1,Terreno,AREA,AREA ARCHEOLOGICA,,,strada_non_in_anncsu
