FOGLIO,PLLA,n_record,subalterni,CATEGORIA,TIPO,SUBTIPO,INDIRIZZO,NUMERO_CIVICO
8,168,20,11 9 15 13 30 8 14 12 23 28 27 32 7 29 31 17 21 22 3 4,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA LORENZINI CARLO COLLODI,4
8,314,16,24 5 26 20 7 30 27 29 31 32 13 16 4 19 28 33,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CADUTI SUL LAVORO,86
8,594,1,,Unità non abitativa,LOCALE TECNICO,AUTOCLAVE,VIA VERNE GIULIO,3/5/7/9
8,802,1,32,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),PIAZZA GUARESCHI GIOVANNI,2
8,1086,15,59 61 69 39 48 50 28 35 21 25 32 4 10 9 5,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA VERNE GIULIO,8
8,1087,15,13 19 14 18 17 11 8 20 12 15 21 16 10 9 22,Unità non abitativa,LOCALE,BOX,VIA PARTANNA MONDELLO,25
9,271,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA PATROCLO,
9,350,1,,Edificio,IMPIANTO SPORTIVO,CAMPO BASEBALL,VIALE DELL'OLIMPO,12
9,455,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CHIRONE,33/35
9,535,1,,Edificio,IMPIANTO TECNICO,IMPIANTO DI DEPURAZIONE,VIALE DELL'OLIMPO,
9,550,1,,Edificio,IMPIANTO TECNICO,IMPIANTO DI DEPURAZIONE,VIALE DELL'OLIMPO,
9,651,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CHIRONE,33/35
10,727,1,,Terreno,VERDE,AGRICOLO,VIA DELL'ULIVO,
11,661,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA PARROCCHIA (DIETRO),2
12,D2140,1,,Terreno,VERDE,AGRICOLO,LUNGOMARE COLOMBO CRISTOFORO,
12,2028,1,3,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA PIZZARRO FRANCESCO,4
12,2548,1,,Terreno,STRADA,REGIA TRAZZERA,LUNGOMARE COLOMBO CRISTOFORO,SNC
14,501,1,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,9
14,2147,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2149,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2152,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2412,2,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,11
14,3299,2,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,11
15,203,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,285,1,,Unità non abitativa,LOCALE,MAGAZZINO,VIA VILLA CARDILLO,
15,1044,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1098,1,,Terreno,VERDE,VERDE PUBBLICO,VIA ZAPPA GINO,1
15,1100,1,,Terreno,VERDE,VERDE PUBBLICO,VIA ZAPPA GINO,1
15,1110,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1112,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1114,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1116,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1132,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
16,1493,1,,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA LO VALVO ORESTE,31
17,57 QP,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA SMITH ADAMO,19/21
17,1,1,,Edificio,IMPIANTO SPORTIVO,VELODROMO,VIA LANZA DI SCALEA GIUSEPPE,1
17,9,1,,Terreno,VERDE,FONDO,VIA S.LORENZO,SNC
17,37,3,2 1,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA PATTI,5
17,51,1,,Edificio,IMPIANTO SPORTIVO,VELODROMO,VIA LANZA DI SCALEA GIUSEPPE,1
17,57,2,,Edificio,SCUOLA,ELEMENTARE,VIA SMITH ADAMO,19/21
18,277,1,,Edificio,SCUOLA,ASILO NIDO,VIA GIRARDENGO COSTANTE,18 / 20
19,2747,12,15,Unità non abitativa,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,VIA CASTELFORTE,5
20,126,1,,Area,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,VIALE REGIONE SICILIANA N.O.,780
20,423,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,433,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,438,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,1058,1,43,Edificio,SCUOLA,MEDIA,VIA ASTORINO GERARDO,31
20,1059,1,1,Edificio,SCUOLA,MATERNA,VIA DOMINO CLAUDIO,4
20,1641,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,1645,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,1646,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,1648,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
20,1826,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA LA MALFA UGO,
22,113,1,,Terreno,AREA,TERRENO CON EDIFICIOVIALE STRASBURGO,,191
22,114,1,,Terreno,AREA,TERRENO CON EDIFICIOVIALE STRASBURGO,,191
22,181,1,,Terreno,IMPIANTO SPORTIVO,CAMPO TENNIS,VIA ALDISIO SALVATORE,
22,810,1,,Edificio,SCUOLA,MATERNA/ELEMENTAREVIA S.LORENZO,,85
22,883,1,,Edificio,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,VICOLO PANTELLERIA,10
22,1432,1,9,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIALE STRASBURGO,440
22,1925,1,,Terreno,VERDE,VERDE PUBBLICO,VIA DEI QUARTIERI,21
22,2100,1,,Terreno,AREA,TERRENO CON EDIFICIOVIALE STRASBURGO,,191
22,2393,8,4 6 8 29 41 56 86 30,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIALE CROCE ROSSA,222
22,2397,14,17 21 22 23 36 39 40 41 1 6 3 5 4,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIALE CROCE ROSSA,206
22,2400,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
22,2403,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
22,2407,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
22,2409,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
22,2444,1,,Terreno,AREA,TERRENO,VIA VILLA GIOCOSA,
22,2846,1,1,Edificio,SCUOLA,MEDIA,VIA DI GIOVANNI FILIPPO,88
23,44,2,,Edificio,IMPIANTO SPORTIVO,PISCINA,VIALE DEL FANTE,11
23,135,1,,Area,IMPIANTO SPORTIVO,CIRCOLO TENNIS,VIALE DEL FANTE,3
23,141,1,,Edificio,UFFICIO,UFFICIO COMUNALE,PIAZZA NISCEMI,1
23,144,1,,Edificio,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,PIAZZA NISCEMI,3
25,341,1,,Edificio,SCUOLA,MEDIA,VIA MARTURANO RUGGERO,77-79
25,344,1,,Edificio,SCUOLA,MEDIA,VIA MARTURANO RUGGERO,77-79
25,417,1,28,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA SERGIO PAPA I,57
25,1252,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA VERGINE MARIA,109 EX 83
25,1428,1,,Edificio,SCUOLA,MEDIA,VIA MARTURANO RUGGERO,77-79
25,1429,1,,Edificio,SCUOLA,MEDIA,VIA MARTURANO RUGGERO,77-79
25,1440,1,,Edificio,SCUOLA,MATERNA,VIA DELLA BARCA,1
25,1494,1,,Terreno,AREA,TERRENO,VIA VERGINE MARIA,
25,2536,1,3,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),LUNGOMARE COLOMBO CRISTOFORO,108
27,791,1,,Terreno,AREA,AREA LIBERA,VIA INSERRA,
28,40,1,,Unità non abitativa,LOCALE,MAGAZZINO,CASE ROCCA,11
28,76,1,,Edificio,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,VIA PANEBIANCO MICHELE,"10,14,18"
28,3361,1,1,Edificio,SCUOLA,ELEMENTARE,VIA INSERRA,1
