FOGLIO,PLLA,n_record,subalterni,CATEGORIA,TIPO,SUBTIPO,INDIRIZZO,NUMERO_CIVICO
38,4425,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,2015
38,4426,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,2015
38,4428,24,2 3 4 5 6 9 11 12 15 16 17 19 20 23 26 28 29 30 32 33 34 35 37 40,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,2
38,4430,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,2
38,4431,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,2
38,4432,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,4
38,4433,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,4
38,4434,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,4
38,4435,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,4
38,4437,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,6
38,4438,2,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PALADINI FILIPPO,6
38,4439,36,1 2 3 4 7 8 10 11 12 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 90 40 41 42,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,5
38,4440,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,1
38,4441,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,1
38,4442,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,1
38,4443,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,3
38,4444,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,3
38,4446,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,5
38,4448,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,5
38,4449,27,19 20 21 38 23 25 26 27 28 30 32 33 34 1 2 3 4 5 6 7 8 11 13 14 15 16 17,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,9
38,4451,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,7
38,4452,13,1 2 3 4 5 6 8 9 10 12 15 17 19,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CALANDRUCCI GIACINTO,2
38,4453,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CALANDRUCCI GIACINTO,4
38,4456,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CALANDRUCCI GIACINTO,2
38,4457,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CALANDRUCCI GIACINTO,2
38,4458,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,5
38,4459,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CALANDRUCCI GIACINTO,2
38,4460,34,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 28 30 32 31 35 40 39 42 41,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,2
38,4461,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,2
38,4462,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,4
38,4466,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,2
38,4467,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,4
38,4470,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,6
38,4471,65,1 2 4 3 6 5 8 71 10 9 12 11 14 13 15 16 18 17 20 19 22 21 24 23 26 25 28 27 29 30 32 31 34 33 36 35 38 37 40 39 42 43 44 46 45 48 47 49 52 51 54 53 56 57 58 60 59 62 61 64 63 66 65 70 69,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,2
38,4472,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,2
38,4473,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,2
38,4474,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,2
38,4475,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,4
38,4476,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,4
38,4477,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,4
38,4478,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,4
38,4479,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,6
38,4480,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,6
38,4490,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,6
38,4491,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,6
38,4492,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,1
38,4493,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,8
38,4494,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,8
38,4495,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,8
38,4496,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,10
38,4497,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,10
38,4498,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,10
38,4499,13,1 2 4 3 6 5 8 9 12 14 13 16 15,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,25
38,4500,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,25
38,4501,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,25
38,4502,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,25
38,4503,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,23
38,4504,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ZUMBO GAETANO,23
38,4507,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,9
38,4508,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,9
38,4509,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,9
38,4510,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,7
38,4512,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,7
38,4588,8,1 2 3 4 5 6 7 8,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,2
38,4589,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,2
38,4590,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,2
38,4591,8,1 2 3 4 5 6 7 8,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,4
38,4592,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,4
38,4593,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,4
38,4596,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,6
38,4597,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,6
38,4598,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,8
38,4599,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,8
38,4600,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,8
38,4601,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,8
38,4602,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,10
38,4603,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,10
38,4604,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,10
38,4609,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,3
38,4612,9,9 10 19 13 14 16 2 3 8,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,7
38,4616,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,7
38,4617,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,7
38,4618,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA RAGUSA GIAMBATTISTA,7
38,4619,14,9 10 11 17 13 14 15 16 1 2 18 4 7 8,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,3
38,4620,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,1
38,4621,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,1
38,4623,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,3
38,4624,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,3
38,4625,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,3
38,4626,22,11 12 14 16 1 2 3 4 5 6 7 8 17 18 19 20 21 22 23 24 9 10,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,2
38,4627,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,1
38,4628,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,1
38,4629,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,1
38,4630,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,2
38,4631,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,2
38,4632,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,2
38,4633,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,2
38,4634,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,3
38,4635,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,3
38,4636,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),PASSAGGIO ROSSI MARIANO,3
38,4663,11,2 4 12 29 37 23,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CASALINI,256
38,4666,3,1 2,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CASALINI,256
38,4690,48,1 87 16 28 33 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCAGLIONE PIETRO,121
38,4691,1,1,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCAGLIONE PIETRO,121
38,4741,1,1,Edificio,SCUOLA,MATERNA/ELEMENTAREVIA IMERA,,32
38,4742,29,4 5 8 11 15 17 20 19 22 24 10 21 9 3 18 6 16 23,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CASALINI,256
38,4743,19,1 3 6 26 8 27 11 23 16 5 14 19 13 28,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CASALINI,256
38,5585,8,2 16 32 23 24 14 43 42,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CENTORBE,12
38,5725,1,17,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA SCAGLIONE PIETRO,45
38,5726,10,10 11 9 6 12 15 16 13 1 2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA SCAGLIONE PIETRO,45
38,5844,21,12 15 16 18 3 30 37 40 46 31 2,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CASALINI,256
38,6496,2,,Edificio,IMPIANTO SPORTIVO,PALAZZETTO DELLO SPORT,VIALE LEONARDO DA VINCI,635
38,6515,1,,Edificio,IMPIANTO SPORTIVO,PALAZZETTO DELLO SPORT,VIALE LEONARDO DA VINCI,635
38,6888,8,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA TINDARI,52
38,7168,1,,Terreno,AREA,AREA ATTREZZATA,PIAZZA CELLINI BENVENUTO,
38,7551,1,,Edificio,SCUOLA,MEDIA,VIA BRUNETTO FILIPPO,
38,8190,1,,Terreno,EDILIZIA RESIDENZIALE PUBBLICA,NON CLASSIFICATO,VIA ALIA,SNC
38,8625,2,,Terreno,AREA,AREA LIBERA,VIALE LEONARDO DA VINCI,
38,90000,1,18,Unità non abitativa,LOCALE,BOX,VIA CASALINI,157-159
39,752,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE LAZIO,
39,944,1,,Edificio,SCUOLA,ELEMENTARE,VIA CRUILLAS,4
39,1630,1,70,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA ZAPPALA' GIOVANNI,26
39,4468,1,,Terreno,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,VIA PAULING LINUS,SNC
40,196,1,,Edificio,SCUOLA,ASILO NIDO,VIA CASALINI,1
40,215,1,2,Unità non abitativa,EDILIZIA RESIDENZIALE,MAGAZZINO (E.R.),VIA CASALINI,157
41,349,1,,Area,VERDE,AGRICOLO,VIALE REGIONE SICILIANA N.O.,3616
41,554,1,1,Edificio,SCUOLA,ELEMENTARE,VIA BERNINI GIAN LORENZO,39
41,1051,1,3,Unità non abitativa,LOCALE,MAGAZZINO,VIA RICCARDO DA LENTINI,"12,14,"
41,1064,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA TIEPOLO GIOVAN BATTISTA,4
42,181,1,,Edificio,SCUOLA,ELEMENTARE,VIA UDITORE,21
42,1332,8,3 14 109 111 8 35 34 33,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CIMABUE GIOVANNI,41
42,1446,1,,Terreno,AREA,AREA LIBERA,PIAZZALE JOHN LENNON,
43,41,2,,Terreno,VERDE,VILLA/GIARDINO,VIA GIUSTI GIUSEPPE,36
43,350,1,,Terreno,VERDE,VERDE PUBBLICO,PIAZZA UNITA' D'ITALIA,
43,361,1,,Terreno,VERDE,VERDE PUBBLICO,PIAZZA UNITA' D'ITALIA,
43,1395,1,,Edificio,ARREDO URBANO,CHIOSCO,PIAZZA ZIINO OTTAVIO,17
44,98,1,,Terreno,AREA,SOTTOVIA,VIA MATTARELLA PIERSANTI,
44,121,1,,Terreno,AREA,SOTTOVIA,VIA MATTARELLA PIERSANTI,
45,37047,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA VOLTURNO,2
47,19,1,,Area,VERDE,AGRICOLO,,
47,908,1,,Terreno,AREA,TERRENO,VIA ALLA FALCONARA,83
47,977,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA CASTELLANA,64
47,1043,1,,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA VILLINI A S.ISIDORO,SNC
47,2130,1,,Terreno,AREA,TERRENO,VIA ALLA FALCONARA,83
47,2447,1,,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA VILLINI A S.ISIDORO,SNC
47,2564,1,,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA VILLINI A S.ISIDORO,SNC
47,2688,2,3 4,Unità non abitativa,LOCALE,MAGAZZINO,VIA CASTELLANA,56
47,4222,1,,Area,VERDE,AGRICOLO,,
47,4223,1,,Area,VERDE,AGRICOLO,,
47,5601,1,,Area,VERDE,AGRICOLO,,
47,5603,1,,Area,VERDE,AGRICOLO,,
47,5607,1,,Area,VERDE,AGRICOLO,,
47,5611,1,,Area,VERDE,AGRICOLO,,
47,5612,1,,Area,VERDE,AGRICOLO,,
47,5613,1,,Area,VERDE,AGRICOLO,,
47,5614,1,,Area,VERDE,AGRICOLO,,
47,5665,1,,Area,VERDE,AGRICOLO,,
47,6048,1,,Area,VERDE,AGRICOLO,,
47,6050,1,,Area,VERDE,AGRICOLO,,
47,6052,1,,Area,VERDE,AGRICOLO,,
48,57,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,132,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,222,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,264,1,,Edificio,SCUOLA,ELEMENTARE,VIA DI GIORGI FERDINANDO,48
48,265,1,,Edificio,SCUOLA,ELEMENTARE,VIA DI GIORGI FERDINANDO,48
48,269,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,570,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,760,1,,Area,SCUOLA,ASILO NIDO,VIA BRAMANTE DONATO,17
48,1060,2,12 104,Unità non abitativa,LOCALE,MAGAZZINO,VIA SILVESTRI IGNAZIO,"11,13,1"
48,1933,1,,Edificio,SCUOLA,ASILO NIDO,VIA SILVESTRI IGNAZIO,10
48,1941,1,,Edificio,SCUOLA,ASILO NIDO,VIA SILVESTRI IGNAZIO,10
49,55 Q.,1,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,90 Q.,1,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,91 Q.,1,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,55,2,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,90,3,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,91,1,,Edificio,SCUOLA,MEDIA,VIA SERRADIFALCO,190
49,449,1,,Terreno,VERDE,VERDE PUBBLICO,VIA SAURO NAZARIO,
49,460,1,42,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA MAGG. AMARI GIUSEPPE,14
49,750,1,,Edificio,SCUOLA,MEDIA,VIA DI MARTINO GIROLAMO,1
49,788,2,9,Area,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA DI MARTINO GIROLAMO,14
49,1294,2,142 141,Unità non abitativa,LOCALE,MAGAZZINO,VIA PARISIO CATALDO,52
49,1317,3,12 13 14,Unità non abitativa,LOCALE,MAGAZZINO,VIA BONINCONTRO MARIANO,39
49,2073,1,2,Unità non abitativa,LOCALE,MAGAZZINO,VIA ZAMPARRONE BALDASSARE,48
50,373,1,33,Unità non abitativa,EDILIZIA RESIDENZIALE,MAGAZZINO (E.R.),VIA MALASPINA,221
50,647,9,9 11 12 13 57 3 1 2 8,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CATANIA,146
50,667,1,15,Unità non abitativa,PARCHEGGIO,POSTO AUTO,VIA MALASPINA,19
50,684,1,10,Unità non abitativa,LOCALE,MAGAZZINO,VIA BEVIGNANI ENRICO,20
50,706,3,30 31 58,Unità non abitativa,LOCALE,BOX,VIA MALASPINA,193
50,715,2,3 2,Unità non abitativa,LOCALE,MAGAZZINO,VIA SIRTORI GIUSEPPE GEN.,47
50,716,8,6 7 8 9 11 13 20 26,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CATANIA,73
51,23,1,,Edificio,SCUOLA,MATERNA/ELEMENTAREVIA MERENDA PIETRO,,
51,24,1,,Edificio,SCUOLA,MATERNA/ELEMENTAREVIA MERENDA PIETRO,,
51,125,5,1 2 3 4 5,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CARUSO GIOVAN BATTISTA,28
51,234,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),PIAZZA ZISA,53
51,938,1,98,Unità non abitativa,LOCALE,BOX,VIA FALCO DI BENEVENTO,15
51,1283,1,,Edificio,SCUOLA,ELEMENTARE,VIA NARBONE ALESSIO,55
51,1284,1,,Edificio,SCUOLA,ELEMENTARE,VIA NARBONE ALESSIO,55
51,1419,7,2 7 3,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,PIAZZA ZISA,17
51,1547,1,11,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCIASCIA ANTONIO,1
51,1548,1,12,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCIASCIA ANTONIO,5
51,1553,1,31,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA GARUFI CARLO ALBERTO,4
51,1557,1,2,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SIRAGUSA GIOVAN BATTISTA,4
51,1558,1,3,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ADRIA GIAN GIACOMO,1
51,1565,1,3,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA FURITANO ANTONIO,2
51,1566,2,6 14,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA FURITANO ANTONIO,4
51,1567,4,5 9 13 26,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA FURITANO ANTONIO,9
52,1855,1,,Edificio,SCUOLA,ASILO NIDO,VIA DI BLASI E. GIOVANNI,104
